TEXT;ES;EN
Los movimientos de {1} se han reiniciado.;Los movimientos de {1} se han reiniciado.;{1}'s movements have been restarted.
Definir PP del movimiento;Definir PP del movimiento;Define PP of the movement
{1}: PP {2}/{3} (PP Up {4}/3);{1}: PP {2}/{3} (PP Up {4}/3);{1}: PP {2}/{3} (PP Up {4}/3)
Definir PP de {1} (máx. {2}).;Definir PP de {1} (máx. {2}).;Define PP of {1} (max. {2}).
Definir Más PP de {1} (máx. 3).;Definir Más PP de {1} (máx. 3).;Define More PP of {1} (max. 3).
Reiniciar movimientos iniciales;Reiniciar movimientos iniciales;Restart initial movements
Los movimientos de {1} se han definido como sus primeros movimientos conocidos.;Los movimientos de {1} se han definido como sus primeros movimientos conocidos.;{1}'s moves have been defined as its first known moves.
Definir posible habilidad;Definir posible habilidad;Define possible skill
Definir cualquier habilidad;Definir cualquier habilidad;Define any skill
La habilidad es {1} (índice {2}).;La habilidad es {1} (índice {2}).;The skill is {1} (index {2}).
Sin habilidad (índice {1}).;Sin habilidad (índice {1}).;No skill (index {1}).
Elige una habilidad.;Elige una habilidad.;Choose a skill.
[Resetear];[Resetear];[Reset]
Especie/forma...;Especie/forma...;Species/form...
Especie {1}, forma {2}.;Especie {1}, forma {2}.;Species {1}, form {2}.
Especie {1}, forma {2} (forzado).;Especie {1}, forma {2} (forzado).;Species {1}, form {2} (forced).
Definir especie;Definir especie;Define species
Eliminar de anulados;Eliminar de anulados;Delete from voided
¿Quieres reiniciar la forma a la 0?;¿Quieres reiniciar la forma a la 0?;Do you want to reset the shape to 0?
Define la forma del Pokémon.;Define la forma del Pokémon.;Defines the shape of the Pokémon.
Esta especie decide su propia forma. ¿Sobrescribir?;Esta especie decide su propia forma. ¿Sobrescribir?;This species decides its own shape. Overwrite?
Info visual...;Info visual...;Visual info...
Es súper variocolor.;Es súper variocolor.;It's super colorful.
Hacer súper variocolor;Hacer súper variocolor;Make super shiny
Definir Poké Ball;Definir Poké Ball;Define Poké Ball
{1} usada.;{1} usada.;{1} used.
Definir cintas;Definir cintas;Define tapes
Eliminar todas;Eliminar todas;Delete all
{1} cintas.;{1} cintas.;{1} ribbons.
Definir mote;Definir mote;Define nickname
{1} tiene el mote {2}.;{1} tiene el mote {2}.;{1} has the nickname {2}.
{1} no tiene mote.;{1} no tiene mote.;{1} does not have a nickname.
Borrar nombre;Borrar nombre;Delete name
Dueño...;Dueño...;Owner...
Hombre;Hombre;Man
Mujer;Mujer;Women
Pokémon del Jugador\n{1}\n{2}\n{3} ({4});Pokémon del Jugador\n{1}\n{2}\n{3} ({4});Player's Pokémon\n{1}\n{2}\n{3} ({4})
Pokémon Extranjero\n{1}\n{2}\n{3} ({4});Pokémon Extranjero\n{1}\n{2}\n{3} ({4});Foreign Pokémon\n{1}\n{2}\n{3} ({4})
Hacer del jugador;Hacer del jugador;Play the player
Definir nombre del EO;Definir nombre del EO;Define EO name
Definir género del EO;Definir género del EO;Define gender of the EO
Random ID extranjero;Random ID extranjero;Random foreign ID
Definir ID extranjero;Definir ID extranjero;Define foreign ID
¿Nombre del EO de {1}?;¿Nombre del EO de {1}?;Name of {1}'s EO?
Indica el nuevo ID (máx. 65535).;Indica el nuevo ID (máx. 65535).;Indicates the new ID (max. 65535).
Definir descartable;Definir descartable;Define disposable
Elige la opción para alternar.;Elige la opción para alternar.;Choose the option to toggle.
No se puede almacenar;No se puede almacenar;Cannot be stored
Se puede almacenar;Se puede almacenar;can be stored
No se puede liberar;No se puede liberar;Cannot be released
Se puede liberar;Se puede liberar;can be released
No se puede intercambiar;No se puede intercambiar;Cannot be exchanged
Se puede intercambiar;Se puede intercambiar;Can be exchanged
Definir huevo;Definir huevo;Define egg
No es un Huevo;No es un Huevo;It's not an Egg
Huevo (eclosiona en {1} pasos).;Huevo (eclosiona en {1} pasos).;Egg (hatches in {1} steps).
Hacer huevo;Hacer huevo;make egg
Hacer Pokémon;Hacer Pokémon;Make Pokémon
Poner pasos de eclosión en 1;Poner pasos de eclosión en 1;Set hatching steps to 1
{1} no puede ser legalmente un huevo. ¿Hacer huevo igualmente?;{1} no puede ser legalmente un huevo. ¿Hacer huevo igualmente?;{1} cannot legally be an egg. Make eggs too?
Pkmn oscuro...;Pkmn oscuro...;Dark Pkmn...
No es un Pokémon Oscuro.;No es un Pokémon Oscuro.;It is not a Dark Pokémon.
La puerta del corazón es {1} (etapa {2}).;La puerta del corazón es {1} (etapa {2}).;The heart gate is {1} (stage {2}).
Hacer oscuro;Hacer oscuro;Make dark
Definir puerta del corazón;Definir puerta del corazón;Define door of the heart
{1} ya es un Pokémon Oscuro.;{1} ya es un Pokémon Oscuro.;{1} is already a Dark Pokémon.
Define la puerta del corazón (máx. {1}).;Define la puerta del corazón (máx. {1}).;Defines the heart gate (max. {1}).
{1} no es un Pokémon Oscuro.;{1} no es un Pokémon Oscuro.;{1} is not a Dark Pokémon.
Duplicar;Duplicar;Double
¿Segur{1} que quieres copiar este Pokémon?;¿Segur{1} que quieres copiar este Pokémon?;{1} Are you sure you want to copy this Pokémon?
El Pokémon se ha duplicado.;El Pokémon se ha duplicado.;The Pokémon has doubled.
El Pokémon duplicado se ha unido a tu equipo.;El Pokémon duplicado se ha unido a tu equipo.;The duplicate Pokémon has joined your team.
El Pokémon duplicado se ha movido a la caja \;El Pokémon duplicado se ha movido a la caja \;The duplicate Pokémon has been moved to the box\
¿Estás segur{1} de que quieres eliminar este Pokémon?;¿Estás segur{1} de que quieres eliminar este Pokémon?;Are you sure{1} you want to eliminate this Pokémon?
Renombrando charsets de árboles de bayas...;Renombrando charsets de árboles de bayas...;Renaming berry tree charsets...
Revisando {1} mapas en busca de charsets de árboles de bayas...;Revisando {1} mapas en busca de charsets de árboles de bayas...;Checking {1} maps for berry tree charsets...
Mapa {1}:;Mapa {1}:;Map {1}:
Actualizando nombres de archivos y localizaciones;Actualizando nombres de archivos y localizaciones;Updating file names and locations
Los archivos del charset de los árboles de bayas se han renombrado.;Los archivos del charset de los árboles de bayas se han renombrado.;The berry tree charset files have been renamed.
Los datos de RMXP se han alterado. Cierra RMXP ahora para asegurarte de que los cambios se apliquen.;Los datos de RMXP se han alterado. Cierra RMXP ahora para asegurarte de que los cambios se apliquen.;RMXP data has been altered. Close RMXP now to ensure the changes take effect.
Se ha terminado de actualizar los nombres de archivos y localizaciones;Se ha terminado de actualizar los nombres de archivos y localizaciones;Finished updating file names and locations
Archivo {1}, sección {2}\n{3};Archivo {1}, sección {2}\n{3};File {1}, section {2}\n{3}
Archivo {1}, sección {2}, clave {3}\n{4};Archivo {1}, sección {2}, clave {3}\n{4};File {1}, section {2}, key {3}\n{4}
Archivo {1}, línea {2}\n{3};Archivo {1}, línea {2}\n{3};File {1}, line {2}\n{3}
Se esperaba una sección al principio del archivo. Este error también puede ocurrir si el archivo no se guardó en UTF-8.\n{1};Se esperaba una sección al principio del archivo. Este error también puede ocurrir si el archivo no se guardó en UTF-8.\n{1};A section was expected at the beginning of the file. This error can also occur if the file was not saved in UTF-8.\n{1}
Se esperaba una sección al principio del archivo (línea {1}). Las secciones comienzan con;Se esperaba una sección al principio del archivo (línea {1}). Las secciones comienzan con;A section was expected at the beginning of the file (line {1}). The sections begin with
Campo entre comillas no válido (en: {1})\n{2};Campo entre comillas no válido (en: {1})\n{2};Invalid quoted field (in: {1})\n{2}
El campo {1} no es un valor booleano (true, false, 1, 0)\n{2};El campo {1} no es un valor booleano (true, false, 1, 0)\n{2};Field {1} is not a boolean value (true, false, 1, 0)\n{2}
El campo {1} no es un entero (int) \n{2};El campo {1} no es un entero (int) \n{2};Field {1} is not an integer (int) \n{2}
El campo {1} no es un número entero (int) positivo\n{2};El campo {1} no es un número entero (int) positivo\n{2};Field {1} is not a positive integer\n{2}
El campo {1} no es un número\n{2};El campo {1} no es un número\n{2};Field {1} is not a number\n{2}
El campo {1} no es un número entero (int)\n{2};El campo {1} no es un número entero (int)\n{2};Field {1} is not an integer (int)\n{2}
El campo {1} no es un número entero (int) positivo o 0\n{2};El campo {1} no es un número entero (int) positivo o 0\n{2};Field {1} is not a positive integer (int) or 0\n{2}
El campo;El campo;The field
Valor {1} no definido en {2}\n{3};Valor {1} no definido en {2}\n{3};Value {1} not defined in {2}\n{3}
Valor {1} incorrecto en {2}\n{3};Valor {1} incorrecto en {2}\n{3};Incorrect value {1} in {2}\n{3}
Valor {1} no definido (se esperaba uno de: {2})\n{3};Valor {1} no definido (se esperaba uno de: {2})\n{3};Undefined value {1} (expected one of: {2})\n{3}
Valor no definido {1} (se esperaba uno de: {2})\n{3};Valor no definido {1} (se esperaba uno de: {2})\n{3};Undefined value {1} (expected one of: {2})\n{3}
Enumeración no definida\n{1};Enumeración no definida\n{1};Undefined enumeration\n{1}
El campo {1} no es un entero (int)\n{2};El campo {1} no es un entero (int)\n{2};Field {1} is not an integer (int)\n{2}
El campo {1} no es un número decimal\n{2};El campo {1} no es un número decimal\n{2};Field {1} is not a decimal number\n{2}
Objeto no definido: {1}\nAsegúrate de que el objeto esté definido en PBS/items.txt.\n{2};Objeto no definido: {1}\nAsegúrate de que el objeto esté definido en PBS/items.txt.\n{2};Object not defined: {1}\nMake sure the object is defined in PBS/items.txt.\n{2}
Nombre de la especie no definido: {1}\nAsegúrate de que la especie esté definida en PBS/pokemon.txt.\n{2};Nombre de la especie no definido: {1}\nAsegúrate de que la especie esté definida en PBS/pokemon.txt.\n{2};Species name not defined: {1}\nMake sure the species is defined in PBS/pokemon.txt.\n{2}
Movimiento no definido: {1}\nAsegúrate de que el movimiento esté definido en PBS/moves.txt.\n{2};Movimiento no definido: {1}\nAsegúrate de que el movimiento esté definido en PBS/moves.txt.\n{2};Undefined move: {1}\nMake sure the move is defined in PBS/moves.txt.\n{2}
naturaleza no definida: {1}\nAsegúrate de que la naturaleza esté definida en los scripts.\n{2};naturaleza no definida: {1}\nAsegúrate de que la naturaleza esté definida en los scripts.\n{2};undefined nature: {1}\nMake sure the nature is defined in the scripts.\n{2}
Tipo de Entrenador no definido: {1}\nAsegúrate de que el tipo de entrenador esté definido en PBS/trainer_types.txt.\n{2};Tipo de Entrenador no definido: {1}\nAsegúrate de que el tipo de entrenador esté definido en PBS/trainer_types.txt.\n{2};Trainer Type not defined: {1}\nMake sure the trainer type is defined in PBS/trainer_types.txt.\n{2}
Compilando el archivo PBS `{1}`...;Compilando el archivo PBS `{1}`...;Compiling PBS file `{1}`...
Escribiendo el archivo PBS `{1}`...;Escribiendo el archivo PBS `{1}`...;Writing PBS file `{1}`...
Comprobando los datos del juego;Comprobando los datos del juego;Checking game data
Los datos del juego no se han tenido que compilar de nuevo;Los datos del juego no se han tenido que compilar de nuevo;Game data did not have to be compiled again
Guardando mensajes...;Guardando mensajes...;Saving messages...
Se han compilado los datos del juego correctamente;Se han compilado los datos del juego correctamente;Game data compiled successfully
El nombre de la sección;El nombre de la sección;The name of the section
Advertencia: El mapa {1}, mencionado en los datos de conexión de mapas, no se encontró.\n{2};Advertencia: El mapa {1}, mencionado en los datos de conexión de mapas, no se encontró.\n{2};Warning: Map {1}, mentioned in the map connection data, was not found.\n{2}
El lado norte del primer mapa debe conectarse con el lado sur del segundo mapa\n{1};El lado norte del primer mapa debe conectarse con el lado sur del segundo mapa\n{1};The north side of the first map must connect to the south side of the second map\n{1}
El lado sur del primer mapa debe conectarse con el lado norte del segundo mapa\n{1};El lado sur del primer mapa debe conectarse con el lado norte del segundo mapa\n{1};The south side of the first map must connect to the north side of the second map\n{1}
El lado este del primer mapa debe conectarse con el lado oeste del segundo mapa\n{1};El lado este del primer mapa debe conectarse con el lado oeste del segundo mapa\n{1};The east side of the first map must connect to the west side of the second map\n{1}
El lado oeste del primer mapa debe conectarse con el lado este del segundo mapa\n{1};El lado oeste del primer mapa debe conectarse con el lado este del segundo mapa\n{1};The west side of the first map must connect to the east side of the second map\n{1}
El movimiento {1} está definido como un movimiento de Estado con un daño base distinto de cero.\n{2};El movimiento {1} está definido como un movimiento de Estado con un daño base distinto de cero.\n{2};The move {1} is defined as a status move with non-zero base damage.\n{2}
Advertencia: El movimiento {1} está definido como Físico o Especial pero tiene un daño base de 0. Se cambiará a un movimiento de Estado.\n{2};Advertencia: El movimiento {1} está definido como Físico o Especial pero tiene un daño base de 0. Se cambiará a un movimiento de Estado.\n{2};Warning: The move {1} is set to Physical or Special but has a base damage of 0. It will be changed to a Status move.\n{2}
ID de especie no definido;ID de especie no definido;Species ID not defined
La forma {1} para la especie ID {2} está definida dos veces.\n{3};La forma {1} para la especie ID {2} está definida dos veces.\n{3};The form {1} for species ID {2} is defined twice.\n{3}
La lista de la Pokédex número {1} está definida al menos dos veces.\n{2};La lista de la Pokédex número {1} está definida al menos dos veces.\n{2};Pokédex list number {1} is defined at least twice.\n{2}
Se esperaba una sección al principio del archivo.\n{1};Se esperaba una sección al principio del archivo.\n{1};A section was expected at the beginning of the file.\n{1}
El número de la lista de la Pokédex {1} tiene la especie {2} listada dos veces.\n{3};El número de la lista de la Pokédex {1} tiene la especie {2} listada dos veces.\n{3};Pokédex listing number {1} has species {2} listed twice.\n{3}
Se esperaba una línea de entrada de especies para el tipo de encuentro {1} en el mapa;Se esperaba una línea de entrada de especies para el tipo de encuentro {1} en el mapa;Species input line expected for encounter type {1} on map
El número de nivel {1} no es válido (máx. {2}).\n{3};El número de nivel {1} no es válido (máx. {2}).\n{3};Level number {1} is not valid (max. {2}).\n{3}
El nivel mínimo es mayor que el nivel máximo: {1}\n{2};El nivel mínimo es mayor que el nivel máximo: {1}\n{2};The minimum level is greater than the maximum level: {1}\n{2}
Los encuentros para el mapa;Los encuentros para el mapa;The encounters for the map
Se esperaba un número de mapa, se recibió \;Se esperaba un número de mapa, se recibió \;Map number expected, received \
Tipo de encuentro \;Tipo de encuentro \;Meeting type \
¡El Pokémon aún no ha sido definido!\n{1};¡El Pokémon aún no ha sido definido!\n{1};The Pokémon has not been defined yet!\n{1}
El entrenador con ID {1} no tiene Pokémon.\n{2};El entrenador con ID {1} no tiene Pokémon.\n{2};The trainer with ID {1} has no Pokémon.\n{2}
Nivel de Pokémon no válido {1} (debe ser de 1 a {2}).\n{3};Nivel de Pokémon no válido {1} (debe ser de 1 a {2}).\n{3};Invalid Pokémon level {1} ​​(must be 1 to {2}).\n{3}
Apodo de Pokémon no válido: {1} (debe tener de 1 a {2} caracteres).\n{3};Apodo de Pokémon no válido: {1} (debe tener de 1 a {2} caracteres).\n{3};Invalid Pokémon nickname: {1} (must be 1 to {2} characters).\n{3}
IV no válido: {1} (debe estar entre 0 y {2}).\n{3};IV no válido: {1} (debe estar entre 0 y {2}).\n{3};Invalid IV: {1} (must be between 0 and {2}).\n{3}
EV no válido: {1} (debe estar entre 0 y {2}).\n{3};EV no válido: {1} (debe estar entre 0 y {2}).\n{3};Invalid EV: {1} (must be between 0 and {2}).\n{3}
Conjunto de EV no válido (debe sumar {1} o menos).\n{2};Conjunto de EV no válido (debe sumar {1} o menos).\n{2};Invalid EV set (must add up to {1} or less).\n{2}
Felicidad incorrecta: {1} (debe estar entre 0 y 255).\n{2};Felicidad incorrecta: {1} (debe estar entre 0 y 255).\n{2};Incorrect happiness: {1} (must be between 0 and 255).\n{2}
El valor {1} no es una Poké Ball definida.\n{2};El valor {1} no es una Poké Ball definida.\n{2};The value {1} is not a defined Poké Ball.\n{2}
No se proporcionó el archivo de datos del entrenador en la sección {1}.\n{2};No se proporcionó el archivo de datos del entrenador en la sección {1}.\n{2};Trainer data file not provided in section {1}.\n{2}
La ID de los metadatos globales;La ID de los metadatos globales;The global metadata ID
La ID de los metadatos del jugador;La ID de los metadatos del jugador;The player's metadata ID
La entrada;La entrada;The entrance
El metadata global no está definido en metadata.txt pero debería estarlo.\n{1};El metadata global no está definido en metadata.txt pero debería estarlo.\n{1};The global metadata is not defined in metadata.txt but it should be.\n{1}
El metadata para el personaje del jugador 1 no está definido en metadata.txt pero debería estarlo.\n{1};El metadata para el personaje del jugador 1 no está definido en metadata.txt pero debería estarlo.\n{1};The metadata for player 1's character is not defined in metadata.txt but it should be.\n{1}
La versión {1} del área de mazmorra {2} está definida dos veces.\n{3};La versión {1} del área de mazmorra {2} está definida dos veces.\n{3};Version {1} of dungeon area {2} is defined twice.\n{3}
Compilando animaciones...;Compilando animaciones...;Compiling animations...
Consulta la documentación en la wiki para aprender cómo editar este archivo.;Consulta la documentación en la wiki para aprender cómo editar este archivo.;See the documentation on the wiki to learn how to edit this file.
Writing all PBS files;Writing all PBS files;Writing all PBS files
Se han reescrito correctamente todos los archivos PBS;Se han reescrito correctamente todos los archivos PBS;All PBS files have been successfully rewritten
{1} nuevo(s) mapa(s) copiado(s) en la carpeta de Datos se importaron con éxito.;{1} nuevo(s) mapa(s) copiado(s) en la carpeta de Datos se importaron con éxito.;{1} new map(s) copied to the Data folder were successfully imported.
¡Aquí tienes!;¡Aquí tienes!;Here you go!
No te queda espacio en la Mochila.;No te queda espacio en la Mochila.;You have no space left in your Backpack.
\\G¡Aquí tienes!;\\G¡Aquí tienes!;\\GHere you go!
\\GNo te queda espacio en la Mochila.;\\GNo te queda espacio en la Mochila.;\\GYou have no space left in your Backpack.
\\GNo tienes suficiente dinero.;\\GNo tienes suficiente dinero.;\\GYou don't have enough money.
Procesando {1} mapas...;Procesando {1} mapas...;Processing {1} maps...
El mapa {1}:;El mapa {1}:;The map {1}:
Procesando eventos comunes...;Procesando eventos comunes...;Processing common events...
Se han alterado los datos RMXP. Cierra RMXP para asegurarte de que los cambios se aplican.;Se han alterado los datos RMXP. Cierra RMXP para asegurarte de que los cambios se aplican.;RMXP data has been altered. Close RMXP to ensure the changes are applied.
Graphics/UI/Bag Screen with Party/icon_slider;Graphics/UI/Bag Screen with Party/icon_slider;Graphics/UI/Bag Screen with Party/icon_slider
Graphics/UI/Bag Screen with Party/icon_pocket;Graphics/UI/Bag Screen with Party/icon_pocket;Graphics/UI/Bag Screen with Party/icon_pocket
Z: Ordenar;Z: Ordenar;Z: Sort
D: Buscar;D: Buscar;D: Search
Número;Número;Number
Alfabéticamente;Alfabéticamente;Alphabetically
¿Cómo deseas ordenar tus objetos?;¿Cómo deseas ordenar tus objetos?;How do you want to organize your objects?
Coger Objeto;Coger Objeto;Pick up object
Mover Objeto;Mover Objeto;Move Object
{1} tiene equipado {2}.;{1} tiene equipado {2}.;{1} has {2} equipped.
Has equipado {1} a {2}.;Has equipado {1} a {2}.;You have equipped {1} to {2}.
Debes quitarle la carta a {1} para equiparle un objeto.;Debes quitarle la carta a {1} para equiparle un objeto.;You must remove the card from {1} to equip it with an item.
{1} ya tiene equipado unos {2}.\1;{1} ya tiene equipado unos {2}.\1;{1} already has some {2} equipped.\1
{1} ya tiene equipado {2}.\1;{1} ya tiene equipado {2}.\1;{1} already has {2} equipped.\1
No regis.;No regis.;Don't register.
No fav.;No fav.;Not fav.
Favorito;Favorito;Favorite
\\se[PC access]Has seleccionado {1}.\1;\\se[PC access]Has seleccionado {1}.\1;\\se[PC access]You have selected {1}.\1
¿Qué cantidad de {1} tirar?;¿Qué cantidad de {1} tirar?;How much {1} to throw away?
¿Segur{1} que quieres tirar {2} {3}?;¿Segur{1} que quieres tirar {2} {3}?;{1} Are you sure you want to throw {2} {3}?
Hacer Regalo Mist.;Hacer Regalo Mist.;Make Gift Mist.
Elige nueva cantidad de {1} (max. {2}).;Elige nueva cantidad de {1} (max. {2}).;Choose new quantity of {1} (max. {2}).
Has sacado {1} {2}.;Has sacado {1} {2}.;You rolled {1} {2}.
No tienes más hueco en la Mochila.;No tienes más hueco en la Mochila.;You don't have any more room in your Backpack.
No hay espacio para almacenar objetos.;No hay espacio para almacenar objetos.;There is no space to store objects.
¡Eso es muy importante para ser tirado!;¡Eso es muy importante para ser tirado!;That is very important to be thrown away!
Cuántos {1} tirar?;Cuántos {1} tirar?;How many {1} to throw?
¿Qué cantidad de {1} quieres usar?;¿Qué cantidad de {1} quieres usar?;How much of {1} do you want to use?
No te quedan más {1}.;No te quedan más {1}.;You have no more {1} left.
Has restaurado los PS de tu Pokémon.;Has restaurado los PS de tu Pokémon.;You have restored your Pokémon's HP.
¿Qué movimiento restaurar?;¿Qué movimiento restaurar?;What movement to restore?
types;types;types
MT;MT;M.T.
MO;MO;M.O.
\\PN entregó {1} {2} a cambio.;\\PN entregó {1} {2} a cambio.;\\PN gave {1} {2} in exchange.
Nv. #{move[0].to_i.abs};Nv. #{move[0].to_i.abs};Lv. #{move[0].to_i.abs}
No tienes más {1}.;No tienes más {1}.;You don't have any more {1}.
¿Prefieres que {1} no aprenda un movimiento nuevo?;¿Prefieres que {1} no aprenda un movimiento nuevo?;Would you rather {1} not learn a new move?
No hay más movimientos para que {1} aprenda.;No hay más movimientos para que {1} aprenda.;There are no more moves for {1} to learn.
NOTAS ENTRENADOR;NOTAS ENTRENADOR;COACH NOTES
Un misterioso huevo recibido en {1}.;Un misterioso huevo recibido en {1}.;A mysterious egg received in {1}.
Un huevo misterioso de un Pokémon.;Un huevo misterioso de un Pokémon.;A mysterious Pokémon egg.
Graphics/UI/BetterMoveSummary/recuadro;Graphics/UI/BetterMoveSummary/recuadro;Graphics/UI/BetterMoveSummary/box
Graphics/UI/BetterMoveSummary/help_actionkey;Graphics/UI/BetterMoveSummary/help_actionkey;Graphics/UI/BetterMoveSummary/help_actionkey
Habilidad:;Habilidad:;Ability:
Hierba (día);Hierba (día);Grass (day)
Hierba (noche);Hierba (noche);Grass (night)
Hierba (mañana);Hierba (mañana);Grass (morning)
Hierba (medio día);Hierba (medio día);Grass (half day)
Hierba (atardecer);Hierba (atardecer);Grass (sunset)
Cueva (día);Cueva (día);Cave (day)
Cueva (noche);Cueva (noche);Cave (night)
Cueva (mañana);Cueva (mañana);Cave (morning)
Cueva (medio día);Cueva (medio día);Cave (half day)
Cueva (atardecer);Cueva (atardecer);Cave (sunset)
Surfeando;Surfeando;surfing
Surfeando (día);Surfeando (día);Surfing (day)
Surfeando (noche);Surfeando (noche);Surfing (night)
Surfeando (mañana);Surfeando (mañana);Surfing (morning)
Surfeando (medio día);Surfeando (medio día);Surfing (half day)
Surfeando (atardecer);Surfeando (atardecer);Surfing (sunset)
Pescando (Caña Vieja);Pescando (Caña Vieja);Fishing (Old Rod)
Pescando (Caña Buena);Pescando (Caña Buena);Fishing (Good Cane)
Pescando (Super Caña);Pescando (Super Caña);Fishing (Super Rod)
Golpe Roca;Golpe Roca;Rock Strike
Cabezazo (Raro);Cabezazo (Raro);Headbutt (Rare)
Cabezazo (Común);Cabezazo (Común);Headbutt (Common)
Concurso de Bichos;Concurso de Bichos;Bug Contest
PokéRadar;PokéRadar;PokéRadar
Te faltan los gráficos para esta interfaz. Asegúrate de que la imágen está en la carpeta Graphics/UI/EncounterUI y que tiene el nombre correcto.;Te faltan los gráficos para esta interfaz. Asegúrate de que la imágen está en la carpeta Graphics/UI/EncounterUI y que tiene el nombre correcto.;You are missing the graphics for this interface. Make sure the image is in the Graphics/UI/EncounterUI folder and has the correct name.
<ac><c2=7E105D08>{1}:</c2> <c2=43F022E8>{2}</c2></ac>;<ac><c2=7E105D08>{1}:</c2> <c2=43F022E8>{2}</c2></ac>;<ac><c2=7E105D08>{1}:</c2> <c2=43F022E8>{2}</c2></ac>
<al><c2=7FFF5EF7>Encuentros totales de la zona: {1}</c2></al>;<al><c2=7FFF5EF7>Encuentros totales de la zona: {1}</c2></al>;<al><c2=7FFF5EF7>Total encounters in the area: {1}</c2></al>
<ac><c2=7E105D08>{1}</c2></ac>;<ac><c2=7E105D08>{1}</c2></ac>;<ac><c2=7E105D08>{1}</c2></ac>
Zona sin Pokémon salvajes;Zona sin Pokémon salvajes;Zone without wild Pokémon
Rep. Exp. al capturar;Rep. Exp. al capturar;Rep. Exp. when capturing
Exportar Mapa;Exportar Mapa;Export Map
Exportar;Exportar;Export
[  ] Eventos;[  ] Eventos;[ ] Events
[  ] Jugador;[  ] Jugador;[ ] Player
Guardando... Por favor, espera.;Guardando... Por favor, espera.;Saving... Please wait.
El mapa se ha exportado como #{exported_file};El mapa se ha exportado como #{exported_file};The map has been exported as #{exported_file}
[X] Eventos;[X] Eventos;[X] Events
[X] Jugador;[X] Jugador;[X] Player
Exporta un Mapa;Exporta un Mapa;Export a Map
Elige un mapa para exportarlo como PNG.;Elige un mapa para exportarlo como PNG.;Choose a map to export as PNG.
El Curaportátil ha sido bloqueado.;El Curaportátil ha sido bloqueado.;The Curaportátil has been blocked.
El Curaportátil ha sido desbloqueado.;El Curaportátil ha sido desbloqueado.;The Portable Healer has been unlocked.
El Curaportátil está vacío. Recárgalo en el Centro Pokémon.;El Curaportátil está vacío. Recárgalo en el Centro Pokémon.;The Curaportátil is empty. Recharge it at the Pokémon Center.
Tienes {1} {2} {3} de un máximo de {4}.;Tienes {1} {2} {3} de un máximo de {4}.;You have {1} {2} {3} out of a maximum of {4}.
curación;curación;healing
curaciones;curaciones;cures
disponible;disponible;available
disponibles;disponibles;available
El Curaportátil está bloqueado.;El Curaportátil está bloqueado.;The Curaportable is locked.
¿Quieres curar a tu equipo?;¿Quieres curar a tu equipo?;Do you want to heal your team?
¡Tu equipo Pokémon se ha curado al completo!;¡Tu equipo Pokémon se ha curado al completo!;Your Pokémon team is fully healed!
¡Tu Curaportátil ha sido recargado!;¡Tu Curaportátil ha sido recargado!;Your Curaportátil has been recharged!
¡Ahora tu Curaportátil puede almacenar {1} carga#{$PokemonGlobal.max_vial_charges > 1 ?;¡Ahora tu Curaportátil puede almacenar {1} carga#{$PokemonGlobal.max_vial_charges > 1 ?;Now your Portable Cure can store {1} charge#{$PokemonGlobal.max_vial_charges > 1 ?
. El Pokémon {1}.;. El Pokémon {1}.;. The Pokémon {1}.
No intercambiar;No intercambiar;Do not exchange
¡Estás sosteniendo un Pokémon!;¡Estás sosteniendo un Pokémon!;You're holding a Pokémon!
¿Desea hacer más operaciones?;¿Desea hacer más operaciones?;Do you want to do more operations?
¿Desea salir de la caja?;¿Desea salir de la caja?;Do you want to get out of the box?
¿Cuál tomarás?;¿Cuál tomarás?;Which one will you take?
Retirar;Retirar;Withdraw
{1} está seleccionado.;{1} está seleccionado.;{1} is selected.
ATENCIÓN. Estás a punto de liberar a todos los Pokémon de la caja.;ATENCIÓN. Estás a punto de liberar a todos los Pokémon de la caja.;ATTENTION. You are about to release all the Pokémon in the box.
Una vez hecho no podrás recuperarlos.;Una vez hecho no podrás recuperarlos.;Once done you will not be able to recover them.
La posición {1}, {2} no está vacía...;La posición {1}, {2} no está vacía...;Position {1}, {2} is not empty...
¡ATENCIÓN! Has elegido la opción de liberar todos los Pokémon elegidos.;¡ATENCIÓN! Has elegido la opción de liberar todos los Pokémon elegidos.;ATTENTION! You have chosen the option to release all the chosen Pokémon.
¿Quieres liberar estos Pokémon?;¿Quieres liberar estos Pokémon?;Do you want to release these Pokémon?
¿Estás seguro?;¿Estás seguro?;You're sure?
Los Pokémon han sido liberados.;Los Pokémon han sido liberados.;The Pokémon have been released.
¡Sed libres, Pokémon!;¡Sed libres, Pokémon!;Be free, Pokémon!
No se encontró a {1} en la Pokédex.;No se encontró a {1} en la Pokédex.;{1} was not found in the Pokédex.
¿Qué desea buscar?;¿Qué desea buscar?;What do you want to search for?
No hay resultados.;No hay resultados.;There are no results.
¡Este no es el Pokémon que estoy buscando!;¡Este no es el Pokémon que estoy buscando!;This is not the Pokémon I'm looking for!
Define si el turbo se activa siempre o solo en combates.;Define si el turbo se activa siempre o solo en combates.;Defines whether the turbo is always activated or only in combat.
Recluta 1;Recluta 1;Recruit 1
Recluta 2;Recluta 2;Recruit 2
Recluta N;Recluta N;Recruit N
Recluta;Recluta;Recruit
Selecciona una incubadora para añadir un Huevo.;Selecciona una incubadora para añadir un Huevo.;Select an incubator to add an Egg.
